days,cases
1,0
2,3
3,2
4,5
5,5
6,6
7,6
8,6
9,6
10,47
11,48
12,53
13,53
14,53
15,54
16,58
17,137
18,215
19,308
20,456
21,586
22,857
23,1330
24,2032
25,2822
26,4597
27,6074
28,7828
29,9843
30,11952
31,14570
32,17406
33,20659
34,24591
35,28307
36,31462
37,34859
38,37555
39,40548
40,43030
41,45064
42,60232
43,64300
44,66959
45,69004
46,71063
47,72971
48,74770
49,75192
50,76188
51,77255
52,78246
53,78762
54,79546
55,80401
56,81494
57,82692
58,84508
59,86513
60,88450
61,90248
62,92464
63,94626
64,97113
65,100370
66,106720
67,109988
68,113846
69,117771
70,123779
71,130527
72,137842
73,167154
74,175719
75,186074
76,197606
77,211784
78,228824
79,249323
80,338477
81,360936
82,387486
83,417505
84,448804
85,486816
86,531483
87,689960
88,733172
89,782070
90,825984
91,878028
92,936955
93,997756
94,1156219
95,1216014
96,1270698
97,1331118
98,1394729
99,1464390
100,1537116
101,1680576
102,1744896
103,1802571
104,1859715
105,1922227
106,1989295
107,2063302
108,2187579
109,2253980
110,2318626
111,2383921
112,2450844
113,2523363
114,2612540
115,2727847
116,2803877
117,2869129
118,2934249
119,3004930
120,3080924
121,3164713
122,3273485
123,3351094
124,3427499
125,3500122
126,3575229
127,3660110
128,3747630
129,3855017
130,3940756
131,4011070
132,4087128
133,4170057
134,4253961
135,4352822
136,4465607
137,4559351
138,4636005
139,4727740
140,4828050
141,4933490
142,5037411
143,5162294
144,5257779
145,5348912
146,5436075
147,5532599
148,5638181
149,5756131
150,5891297
151,6016415
152,6123645
153,6220498
154,6342163
155,6466321
156,6591032
157,6735959
158,6859390
159,6967278
160,7073899
161,7203059
162,7341379
163,7480731
164,7638609
165,7769046
166,7885922
167,8006891
168,8186696
169,8331527
170,8471975
171,8670021
172,8822545
173,8950775
174,9089246
175,9259587
176,9436293
177,9618920
178,9828139
179,10003812
180,10159698
181,10326689
182,10507928
183,10716241
184,10927178
185,11156785
186,11345258
187,11509694
188,11682890
189,11893902
190,12115930
191,12335048
192,12585835
193,12801517
194,12992251
195,13181145
196,13408634
197,13648563
198,13890508
199,14159988
200,14386263
201,14587366
202,14792389
203,15035974
204,15321461
205,15598797
206,15902859
207,16150664
208,16361929
209,16585046
210,16839642
211,17133669
212,17417279
213,17742095
214,17991185
215,18209337
216,18421715
217,18685080
218,18967183
219,19239916
220,19580759
221,19834370
222,20046757
223,20267704
224,20548032
225,20827154
226,21111473
227,21466034
228,21707537
229,21918396
230,22138773
231,22403321
232,22675136
233,22938014
234,23289557
235,23534892
236,23745671
237,23963436
238,24230732
239,24502677
240,24770474
241,25164785
242,25421591
243,25631293
244,25885896
245,26152080
246,26430013
247,26707344
248,27149831
249,27397321
250,27611811
251,27833144
252,28079676
253,28356061
254,28639055
255,29106223
256,29370528
257,29599572
258,29844560
259,30122698
260,30414566
261,30701021
262,31202247
263,31467213
264,31693023
265,31944979
266,32236371
267,32523019
268,32810067
269,33306276
270,33569731
271,33793674
272,34047588
273,34338236
274,34636310
275,34930536
276,35439399
277,35712389
278,35942215
279,36214424
280,36535707
281,36849862
282,37170154
283,37804566
284,38089419
285,38342791
286,38635207
287,38949537
288,39288799
289,39629854
290,40402842
291,40706445
292,40980091
293,41322839
294,41693799
295,42079976
296,42471414
297,43493735
298,43845798
299,44149684
300,44535387
301,44952954
302,45381520
303,45818808
304,47020375
305,47400130
306,47806985
307,48220826
308,48668811
309,49150857
310,49640928
311,50877956
312,51319100
313,51715209
314,52180447
315,52693135
316,53237511
317,53775178
318,54927193
319,55405504
320,55825727
321,56298815
322,56836750
323,57381196
324,57933882
325,59038007
326,59521711
327,59948832
328,60431219
329,60958601
330,61542830
331,62060486
332,63060171
333,63533699
334,63966933
335,64449687
336,65020178
337,65615127
338,66212642
339,67261017
340,67778273
341,68242637
342,68756973
343,69359020
344,69958970
345,70544116
346,71655491
347,72180896
348,72646602
349,73191587
350,73765921
351,74407938
352,75051192
353,76197923
354,76717527
355,77194816
356,77721188
357,78313651
358,78900372
359,79444648
360,80316007
361,80722943
362,81168563
363,81682100
364,82334791
365,82995719
366,83586361
367,84562686
368,85080522
369,85602976
370,86173389
371,86858493
372,87553114
373,88271818
374,89570321
375,90179260
